dd,day_hour,num_records,num_sessions,num_vins
2017-12-28,5,36851,569,535
2017-12-28,6,80184,872,750
2017-12-28,7,36796,391,374
2017-12-28,9,1450,85,85
2017-12-28,10,20005,549,518
2017-12-28,11,13383,402,381
2017-12-28,12,14286,434,406
2017-12-28,13,12814,363,347
2017-12-28,14,7622,222,213
2017-12-28,15,3817,110,104
2017-12-28,16,2652,86,82
2017-12-28,17,1221,45,43
2017-12-28,18,957,32,31
2017-12-28,19,886,23,22
2017-12-28,20,522,17,16
2017-12-28,21,915,25,24
2017-12-28,22,2842,86,85
2017-12-28,23,10930,319,300
2017-12-29,0,18545,591,549
2017-12-29,1,23998,736,672
2017-12-29,2,24924,735,664
2017-12-29,3,24154,718,645
2017-12-29,4,19908,620,563
2017-12-29,5,24387,731,666
2017-12-29,6,28251,814,731
2017-12-29,7,28564,827,740
2017-12-29,8,29072,832,752
2017-12-29,9,31606,851,795
2017-12-29,10,22735,628,598
2017-12-29,11,14910,440,420
2017-12-29,12,14104,413,378
2017-12-29,13,13362,367,352
2017-12-29,14,9799,284,267
2017-12-29,15,6215,187,176
2017-12-29,16,3268,94,90
2017-12-29,17,2609,77,76
2017-12-29,18,1486,49,42
2017-12-29,19,836,29,28
2017-12-29,20,659,19,18
2017-12-29,21,734,17,17
2017-12-29,22,1667,48,47
2017-12-29,23,5123,153,144
2017-12-30,0,12056,387,364
2017-12-30,1,19046,592,541
2017-12-30,2,24058,703,638
2017-12-30,3,23597,709,643
2017-12-30,4,18976,608,552
2017-12-30,5,22139,687,621
2017-12-30,6,24927,720,665
2017-12-30,7,25418,711,657
2017-12-30,8,26445,749,690
2017-12-30,9,24401,724,672
2017-12-30,10,16667,517,490
2017-12-30,11,13350,418,395
2017-12-30,12,12394,389,364
2017-12-30,13,10891,313,301
2017-12-30,14,7937,222,214
2017-12-30,15,5309,163,157
2017-12-30,16,2924,98,93
2017-12-30,17,2245,71,68
2017-12-30,18,1200,35,34
2017-12-30,19,751,26,24
2017-12-30,20,635,19,19
2017-12-30,21,799,21,20
2017-12-30,22,1778,55,52
2017-12-30,23,4965,156,148
2017-12-31,0,11728,382,357
2017-12-31,1,19875,638,568
2017-12-31,2,25466,755,672
2017-12-31,3,26120,774,702
2017-12-31,4,20203,638,584
2017-12-31,5,22571,696,629
2017-12-31,6,27317,784,712
2017-12-31,7,27738,808,720
2017-12-31,8,25729,762,700
2017-12-31,9,26299,810,755
2017-12-31,10,18794,636,588
2017-12-31,11,14468,490,460
2017-12-31,12,14806,531,489
2017-12-31,13,13299,441,402
2017-12-31,14,9975,316,304
2017-12-31,15,5450,196,181
2017-12-31,16,4411,155,142
2017-12-31,17,2946,102,96
2017-12-31,18,1692,67,63
2017-12-31,19,855,31,30
2017-12-31,20,750,28,24
2017-12-31,21,898,32,30
2017-12-31,22,2419,73,65
2017-12-31,23,4700,176,151
2018-01-01,0,9325,389,352
2018-01-01,1,17046,644,561
2018-01-01,2,22966,826,717
2018-01-01,3,23103,864,743
2018-01-01,4,17598,703,627
2018-01-01,5,19508,767,662
2018-01-01,6,25535,889,779
2018-01-01,7,26748,902,779
2018-01-01,8,26208,812,717
2018-01-01,9,25056,815,748
2018-01-01,10,17365,582,540
2018-01-01,11,15892,530,484
2018-01-01,12,13770,492,460
2018-01-01,13,11679,361,340
2018-01-01,14,6213,209,196
2018-01-01,15,3780,141,133
2018-01-01,16,2354,94,85
2018-01-01,17,1156,45,41
2018-01-01,18,745,27,27
2018-01-01,19,489,22,21
2018-01-01,20,523,18,15
2018-01-01,21,983,32,32
2018-01-01,22,3909,132,123
2018-01-01,23,14219,480,432
2018-01-02,0,23196,879,763
2018-01-02,1,27344,1025,870
2018-01-02,2,25468,947,795
2018-01-02,3,23830,909,766
2018-01-02,4,18717,748,656
2018-01-02,5,22135,856,751
2018-01-02,6,27147,949,822
2018-01-02,7,25529,954,821
2018-01-02,8,26323,941,818
